"name","address","rankingPosition","rating","description","numberOfReviews","priceLevel","priceRange"
"Le Bar de Jarente","5 rue de Jarente Marais, 75004 Paris France","398","4.5","In the historical quarter of Marais with his amazing buildings and gardens , it is the prettiest and romantic square Sainte Carherine where you will find our typical french restaurant. Le Bar de Jarente serves a delightful home made dishes and a selection of delicious cocktails & good wines.","504","$$ - $$$","$25 - $40"
"Postiche","62 rue Jean Jacques Rousseau, 75001 Paris France","488","4.5","Le Postiche propose une cuisine maison typée bistrot, tenue depuis 2013 par son chef Mike Ohayon et son équipe. Au déjeuner, la carte suit les arrivages et propose chaque jour en formule 3 entrées / 3 plats / 3 desserts Le soir, le diner est ""à la carte"". Ouvert midi et soir du mardi au vendredi + le samedi soir Belle salle à l'étage, poutres, pierre, espace et confort. Groupes/privatisation possible entre 9 et 30 personnes","241","$$ - $$$","$15 - $50"
"Les Inseparables","12 rue Francoeur Metro Jules Joffrin ou Lamarck Caulaincourt, 75018 Paris France","502","4.5","Dans un cadre épurée d inspiration scandinave Les Inséparables vous accueillent pour découvrir une carte travaillée uniquement avec des produits frais et de saison Le samedi et dimanche midi nous vous proposons un brunch","297","$$ - $$$","$25 - $40"
"Qui Plume La Lune","50 rue Amelot, 75011 Paris France","521","4.5","Ouvert du mercredi au samedi,pour le dejeuner et le diner","523","$$$$","$45 - $130"
"Les Botanistes","11 B rue Chomel, 75007 Paris France","520","4.5",,"523","$$ - $$$",
"Creperie Paris Breizh Daumesnil","177 avenue Daumesnil, 75012 Paris France","525","4.5",,"716","$$ - $$$","$15 - $22"
"Creperie Gigi","4 rue de la Corderie, 75003 Paris France","499","4.5","Nice restaurant in North Marais offering ""galettes et crêpes"" made with fresh and homemade products. Glutenfree friendly ! We close for holidays from 5 to 22 August 2018.","246","$$ - $$$","$15 - $30"
"Moom Mam","19 rue de Mogador, 75009 Paris France","529","4.5","Paris 9th, district of theaters and department stores, the Thai restaurant Moom Mam goes beyond traditional folklore to present Thai cuisine in a contemporary design setting. An invitation to the Thai art of living with an elegant atmosphere during the day, hushed and subdued in the evening. In the kitchen, the Thai team brings out the generosity and simplicity of the country. On the menu, a selection of cold or hot tapas to share, the classic Pad Thai, Tiger's Tear and traditional kebabs and at noon a concentrated “lunch formula” of Thai cuisine. Special feature of the house every Sunday: Brunch according to Moom Mam or the art of Thai tasting with family or friends.","636","$$ - $$$","$20 - $68"
"Bistrot L'estrapade","15 rue de l Estrapade, 75005 Paris France","510","4.5","Nous sommes heureux de vous souhaiter la bienvenue au Bistrot L’Estrapade ! Vous y découvrirez une cuisine traditionnelle française aussi authentique que originale. Horaires : du mardi au samedi , de 10h à 21h30. N’hésitez pas à réserver sur notre site Internet.","550","$$ - $$$","$20 - $55"
"L'Antre Amis","9 Rue Bouchut, 75015 Paris France","506","4.5","Savourez une cuisine gourmande et créative dans une ambiance chaleureuse et conviviale dans le 15ème arrondissement de Paris.","435","$$$$","$34 - $50"
"Au Petit Riche","25 rue le Peletier 75009, 75009 Paris France","564","4","Journey to the Paris of the Belle Epoque, in the golden age of the Grands Boulevards district, Au Petit Riche was created in 1854, as a nod to the great Café Riche of the Boulevard des Italiens. Rebuilt in 1880 after a fire that burned the entire street Le Peletier, Au Petit Riche began its second act under the impetus of a new owner, which gives it its refined decor and its soil: the Loire. Today, Au Petit Riche is the meeting place for businessmen and art collectors from Drouot.","1621","$$ - $$$","$26 - $50"
"Bien Eleve","47 rue Richer, 75009 Paris France","507","4.5","Bien Elevé est un restaurant de viande situé rue Richer, au coeur du 9ème arrondissement de Paris entre Cadet et Grands Boulevards. Nous proposons une cuisine bistronomique avec une carte courte et de saison, et mettons à l'honneur des viandes maturées de qualité, qui proviennent en direct d'éleveurs français soucieux d'une agriculture responsable. Venez vous régaler avec nos côte de boeuf Angus à partager, en grillades, cuites au four à charbon de bois, et profitez de la cuisine du chef Benoit Leconte. ""Manger moins de viande, mais mieux"", c'est le motto de notre bistrot.","482","$$ - $$$","$14 - $50"
"Le Petit Medicis","13 rue de Medicis Numero de la Suite, Intersection, Place, 75006 Paris France","511","4.5","Ludivine and David and their team take the greatest care in choosing the products offered on the menu. From Rungis to the heart of the French regions, the couple rely on selective supply chains that meet their requirements in terms of quality, taste and traceability. Fresh products and ""Homemade"" particularly embody this search for excellence. Uncompromising on the quality of its menu, the Petit Médicis team is just as much about its welcome. Drawing on their experience after having run three establishments previously, for Ludivine and David Mourin, it is even an essential ingredient when it comes to the gastronomic experience. And when it comes to welcoming people, the owners of the Petit Médicis know the best recipe: ""What matters most is hospitality, generosity, friendliness, but also simplicity. We are here to provide our customers with festive moments, moments of pleasure and sharing. ""A leitmotif in the form of a promise, which perfectly suits the authentic atmosphere","745","$$ - $$$","$16 - $30"
"Le Petit Marche","9 rue de Bearn, 75003 Paris France","495","4.5","Une cuisine fraîche et délicate, un décor subtile, une terrasse au calme, bienvenue au Petit Marché !","1263","$$ - $$$",
"Le Pre Catelan","Route De Suresnes - Bois De Boulogne, 75116 Paris France","500","4.5","Located in the heart of the famous Bois de Boulogne, this treasure of French cuisine received 3 stars in the Michelin Guide.","1169","$$$$",
"Prive de dessert Aligre","7 rue Theophile Roussel, 75012 Paris France","773","4.5",,"162","$$ - $$$","$14 - $35"
"L'Oiseau Blanc Restaurant","19 avenue Kleber 6ème Etage, 75116 Paris France","509","4.5","In a unique setting on Paris’ rooftops, L'Oiseau Blanc team offers a new menu served exclusively for lunch: ""La Table de L’Oiseau Blanc"". Available in two or three courses and imagined as a gastronomic stopover, this menu reflects the entire philosophy of Chef David Bizet: naturality, regularity and authenticity. At dinner, guests rediscover L’Oiseau Blanc and set off on a gastronomic journey to discover Chef Bizet’s signature dishes. Served in 6 stops, this gourmet menu unveils exceptional products - including some from the Chef's garden - enhanced by daring combinations of flavors. Chef David Bizet uses his talent to bring emotions to his guests like nowhere else, counting on the expertise of his team in the kitchen and in the dining room. Facing the Eiffel Tower, the experience promises to be unforgettable.","1154","$$$$","$75 - $185"
"Bistro S","7 rue Saint Nicolas, 75012 Paris France","489","4.5","Cuisine française de qualité. Établissement situé entre le marché d’Aligre et la Bastille. Vins et alcools nature et en biodynamie. Menus changeants chaque jour. Intérieur épuré. Le bistro S a officiellement ouvert ses portes en septembre 2019. Monsieur Shimpei Oié officie en cuisine avec Monsieur Kenta Tomoda. On s’y régale d’interprétations du chef, élégantes et subtiles. La carte du midi avec ses menus entrée et plat à €25, dégustation en cinq temps à €43 changent tous les jours. Le soir, menu dégustation hebdomadaire en 5 temps à €51. Réservation conseillée.","163","$$$$","$20 - $75"
"Racines Des Pres","1 rue de Gribeauval, 75007 Paris France","512","4.5",,"247","$$$$",
"Caffe Stern","47 Passage des Panoramas, 75002 Paris France","530","4.5","“A historical French landmark with the flavors of Italy” Caffè Stern, located in the heart of Paris inside the Passage des Panoramas, is the brainchild of the Alajmo brothers and Gianni Frasi, a fourth-generation coffee roaster from Verona. Housed inside a landmark letterpress shop, Caffè Stern was brought back to life thanks to designer Philippe Starck. Open all day, visitors can stop by for an olive oil brioche in the morning and return later in the day for Venetian-style “cicchetti” like baccalà mantecato (whipped stockfish) with fried polenta squares. The lunch and dinner menu features Italian classics revisited by Max Alajmo like spaghetti alla Carbonara or a “cappuccino” made with potato puree and Bolognese meat ragu.","455","$$$$",
"Astrance","32 rue de Longchamp, 75016 Paris France","514","4.5",,"689","$$$$","$90 - $370"
"Sizin","47 rue Saint Georges, 75009 Paris France","477","4.5",,"357","$$ - $$$",
"Freddy's","54 rue de Seine, 75006 Paris France","486","4.5","@ Freddy’s no réservations are taken, only love @ Freddy’s on prend pas des réservations, que d’amour","481","$$ - $$$",
"Pouliche","11, rue d_Enghien, 75010 Paris France","483","4.5","Pouliche • Amandine Chaignot Forte de ses expériences dans les plus belles cuisines de France et d’Outre-Manche, la cheffe se lance un nouveau défi en ouvrant son tout premier restaurant dans le très cosmopolite quartier du 10ème arrondissement de Paris. Une nouvelle adresse où les mots d’ordre sont : joie et convivialité. Une cuisine joyeuse qui fait du bien ! Inspirée par ses expériences, voyages et rencontres, Amandine Chaignot propose une carte courte, ludique et raisonnée qui se veut à l’écoute des saisons. Pouliche c'est une cuisine fraîche à base de produits de qualité, sourcés auprès d'artisans engagés, respectueux des sols et des hommes. Le local avant tout, évidemment ! #chaleurbonheurcuisineaubeurre","354","$$$$","$28 - $55"
"Les Embruns","8 rue de Lyon, 75012 Paris France","469","4.5",,"690","$$ - $$$",
"Chez Quyen-Chi","53 avenue de la Division Leclerc A côté de la caserne des pompiers sur la nationale 20, 92160 Antony France","1","5","Vietnamese restaurant with traditional and refined cuisine","128","$$ - $$$","$10 - $30"
"La Capannina","64 rue de la Montagne Ste Genevieve, 75005 Paris France","459","4.5",,"370","$$ - $$$",
"Sanukiya","9 rue d Argenteuil, 75001 Paris France","490","4.5",,"828","$$ - $$$",
"Le Rusti","8 rue des Tournelles Bastille - Le Marais, 75004 Paris France","494","4.5","Traditionnal Italian restaurant.","275","$$ - $$$","$12 - $40"
"Pizzawawa","35 rue Saint Honore, 75001 Paris France","531","4.5",,"553","$$ - $$$","$21 - $41"
"Le Saint-Joseph","100 boulevard de la Republique, 92250 La Garenne-Colombes France","2","4.5",,"424","$$ - $$$","$20 - $45"
"Le Hide","10 rue du General Lanrezac, 75017 Paris France","527","4.5",,"1398","$$ - $$$",
"Le Concert de Cuisine","14 rue Nelaton, 75015 Paris France","503","4.5",,"269","$$$$",
"Le Physalis","47 avenue Henri Ginoux, 92120 Montrouge France","4","4",,"1114","$$ - $$$","$27 - $33"
"Au fil des saisons","6 rue des Fontaines du Temple, 75003 Paris France","523","4.5","3rd district, between the subway stations Temple and Arts et Métiers. Stones and exposed beams, cozy room: here is a good decor to travel to Au Fil des Saisons. The chef invites you to discover a menu elaborated according to the seasons with excellent products. For lunch and dinner, his traditional French cuisine combines original flavors composed from fresh products of the moment. As a lover of organic wines, the owner will advise you with accuracy. The small size of the restaurant, the subdued lighting and its location in a small alley make it the perfect meeting point for a romantic dinner.","405","$$ - $$$","$25 - $29"
"Janna","13 rue Denis Poisson, 75017 Paris France","515","4.5",,"337","$$ - $$$",
"Oi Sushi","7 rue Mouffetard, 75005 Paris France","475","4.5",,"421","$","$8 - $20"
"Au Bon Coin","21 rue de la Collegiale Gobelins, 75005 Paris France","516","4.5",,"693","$$ - $$$","$21 - $40"
"Au Doux Raisin","29 rue Descartes, 75005 Paris France","471","4.5",,"514","$$ - $$$",
"Chez Pippo","31 avenue de la Bourdonnais, 75007 Paris France","433","4.5","Italian restaurant, homemade gnocchis and pizzas, fresh products from Italy in a nice cozy atmosphere.","883","$$ - $$$","$10 - $32"
"Rhapsody","118 rue de Colombes, 92600 Asnieres-sur-Seine France","1","4.5",,"220","$$ - $$$","$24 - $50"
"Thai Papaya","51 rue des 5 Diamants, 75013 Paris France","517","4.5",,"292","$$ - $$$",
"Moustache","3 rue Sainte Beuve A côté du quartier Vavin et du théâtre du Lucernaire, proche Montparnasse et Jardin du Luxembourg, 75006 Paris France","589","4.5","Welcoming, chic and relaxed, Moustache offers a blended cooking, full of flavors and seasonings, in a cosy, jazzy and very pleasurable atmosphere. Not to be missed: marinated meats with a side of tamarind and seasoning sauce... NB: vegetarian and gluten-free dishes","410","$$ - $$$","$25 - $50"
